	{斜玉}
󱰦	{𦮍字底}
󱰨	{𦮒字底}
󱰩	{𦮙字底字框}
󱰪	{𦮙字底}
󱰫	{𦮚字底}
󱰬	{𦮞字底}
󱰭	{𦮟字底}
󱰮	{𦮩字底}
󱰯	{𦮵字底}
󱰰	{𦯊字底}
󱰱	{𦯏字底}
󱰲	{𦯏字底之一}
󱰳	{𦯗字底}
󱰴	{𦯞字底}
󱰵	{𦯞字底之一}
󱰶	{𦯟字底}
󱰷	{𦯟字底之一}
󱰸	{𦯟字底之二}
󱰹	{𦯢字底}
󱰺	{𦯤字底}
󱰼	{𦯰字底}
󱰽	{𦯴字旁字底}
󱰾	{𦯴字旁}
󱰿	{𦰅字底}
󱱀	{𦰓字底}
󱱁	{𦰕字底}
󱱂	{𦰖字底}
󱱄	{𦰢字底}
󱱅	{𦰨字底}
󱱆	{𦰸字底}
󱱇	{𦱚字底}
󱱉	{𦱥字底}
󱱊	{𦱩字腰}
󱱋	{𦱭字腰}
󱱌	{𦱯字底字心}
󱱍	{𦱯字底}
󱱏	{𦱲字底}
󱱐	{𦱳字底}
󱱒	{𦱴字腰}
󱱓	{𦱵字底}
󱱔	{𦱼字底字心字边}
󱱕	{𦱼字底字心}
󱱖	{𦱼字底}
󱱗	{𦱼字底字心字边之一}
󱱘	{𦱼字底字心之一}
󱱙	{𦱼字底之一}
󱱚	{𦱿字底}
󱱛	{𦲂字底}
󱱜	{𦲃字底}
󱱝	{𦲅字底字框}
󱱞	{𦲅字底}
󱱟	{𦲍字底}
󱱠	{𦲗字旁}
󱱢	{𦲘字底}
󱱤	{𦲘字底之一}
󱱥	{𦲙字底}
󱱦	{𦲛字底字边}
󱱧	{𦲛字底}
󱱨	{𦲠字底}
󱱩	{𦲢字底}
󱱪	{𦲦字底}
󱱫	{𦲮字底}
󱱬	{𦲳字底字心字底}
󱱭	{𦲳字底字心}
󱱮	{𦲳字底}
󱱯	{𦲴字底字边}
󱱰	{𦲴字底}
󱱱	{𦳟字底}
󱱲	{𦳨字底}
󱱳	{𦳹字底字边}
󱱴	{𦳹字底}
󱱵	{𦳹字底之一}
󱱶	{𦳺字底}
󱱷	{𦳿字底}
󱱸	{𦴁字腰}
󱱹	{𦴂字底}
󱱺	{𦴃字底}
󱱻	{𦴅字腰}
󱱼	{𦴅字腰之一}
󱱽	{𦴇字底}
󱱾	{𦴉字底}
󱱿	{𦴎字底}
󱲀	{𦴏字底}
󱲁	{𦴏字底之一}
󱲂	{𦴐字头}
󱲃	{𦴓字底字心}
󱲄	{𦴓字底}
󱲅	{𦴓字底字心之一}
󱲆	{𦴓字底之一}
󱲇	{𦴖字底}
󱲈	{𦴝字底}
󱲉	{𦴠字底}
󱲊	{𦴪字底}
󱲋	{𦴫字底}
󱲌	{𦴱字底字心字边}
󱲍	{𦴱字底字心}
󱲎	{𦴱字底}
󱲏	{𦴱字底之一}
󱲐	{𦴵字底}
󱲑	{𦴵字底之一}
󱲒	{𦴹字底}
󱲓	{𦵃字腰}
󱲔	{𦵋字底}
󱲕	{𦵌字底}
󱲖	{𦵍字底}
󱲗	{𦵖字底}
󱲘	{𦵛字底}
󱲙	{𦵞字底}
󱲚	{𦵞字底之一}
󱲛	{𦵬字底}
󱲜	{𦵬字底之一}
󱲝	{𦵬字底之二}
󱲞	{𦶁字底}
󱲟	{𦶍字底}
󱲡	{𦶞字底}
󱲢	{𦶡字底}
󱲣	{𦶨字底}
󱲤	{𦶱字底}
󱲥	{𦶲字底}
󱲦	{𦶵字底}
󱲧	{𦶶字底}
󱲩	{𦶷字底}
󱲪	{𦶹字底字心}
󱲫	{𦶹字底}
󱲬	{𦶽字底}
󱲭	{𦷀字底}
󱲮	{𦷃字底}
󱲯	{𦷇字底}
󱲰	{𦷏字底}
󱲱	{𦷑字底字边}
󱲲	{𦷑字底}
󱲳	{𦷘字底}
󱲴	{𦷘字底之一}
󱲵	{𦷟字底字边}
󱲶	{𦷟字底}
󱲸	{𦷣字底}
󱲺	{𦷵字底}
󱲼	{𦷹字底}
󱲽	{𦷻字旁字底}
󱲾	{𦷻字旁}
󱲿	{𦷻字旁字底之一}
󱳀	{𦷻字旁之一}
󱳁	{𦷻字旁字底之二}
󱳂	{𦷻字旁之二}
󱳃	{𦸖字底}
󱳄	{𦸖字底之一}
󱳅	{𦸟字腰}
󱳆	{𦸧字头}
󱳉	{𦸷字底}
󱳊	{𦸷字底之一}
󱳋	{𦸸字底}
󱳌	{𦸹字底}
󱳍	{𦸹字底之一}
󱳎	{𦸼字底}
󱳏	{𦸿字底}
󱳐	{𦹆字头字底}
󱳑	{𦹆字头}
󱳒	{𦹆字腰}
󱳓	{𦹓字底}
󱳔	{𦹖字腰}
󱳕	{𦹗字底字旁}
󱳖	{𦹗字底}
󱳗	{𦹞字底}
󱳘	{𦹟字底}
󱳙	{𦹠字底}
󱳚	{𦹢字底}
󱳛	{𦹥字底}
󱳜	{𦹨字腰}
󱳝	{𦹭字底字边}
󱳞	{𦹭字底}
󱳟	{𦹰字腰}
󱳠	{𦹴字底}
󱳢	{𦹻字底}
󱳣	{𦹿字底字边}
󱳤	{𦹿字底}
󱳥	{𦹿字底字边之一}
󱳦	{𦹿字底之一}
󱳧	{𦺀字底字边}
󱳨	{𦺀字底}
󱳩	{𦺁字底}
󱳪	{𦺂字底}
󱳫	{𦺅字底字底}
󱳬	{𦺅字底}
󱳮	{𦺇字底}
󱳰	{𦺋字底}
󱳲	{𦺌字底}
󱳳	{𦺌字底之一}
󱳴	{𦺑字底}
󱳵	{𦺯字底}
󱳶	{𦻈字底字边}
󱳷	{𦻈字底}
󱳹	{𦻉字底}
󱳺	{𦻉字底之一}
󱳻	{𦻋字头}
󱳼	{𦻍字底}
󱳽	{𦻕字底}
󱳾	{𦻚字底}
󱳿	{𦻞字腰}
󱴀	{𦻤字腰}
󱴁	{𦻫字腰}
󱴂	{𦻯字底}
󱴃	{𦻯字底之一}
󱴄	{𦻰字底}
󱴅	{𦻷字底字心}
󱴆	{𦻷字底}
󱴇	{𦻾字腰}
󱴈	{𦻿字底}
󱴉	{𦼀字底}
󱴊	{𦼁字底}
󱴋	{𦼆字底}
󱴌	{𦼘字底}
󱴍	{𦼡字底字旁}
󱴎	{𦼡字底}
󱴏	{𦼣字腰字底}
󱴐	{𦼣字腰}
󱴑	{𦼽字底}
󱴒	{𦽕字底}
󱴓	{𦽗字底}
󱴔	{𦽚字腰}
󱴕	{𦽞字底}
󱴖	{𦽪字底}
󱴗	{𦽬字底}
󱴘	{𦽬字底之一}
󱴙	{𦽱字腰字头}
󱴚	{𦽱字腰}
󱴛	{𦽵字底字边}
󱴜	{𦽵字底}
󱴝	{𦽺字底}
󱴞	{𦾁字底}
󱴟	{𦾄字底}
󱴡	{𦾗字腰}
󱴢	{𦾘字底}
󱴣	{𦾪字腰字心}
󱴤	{𦾪字腰}
󱴧	{𦾰字底}
󱴨	{𦾽字底}
󱴩	{𦾽字底之一}
󱴪	{𦿎字底}
󱴫	{𦿐字底字旁}
󱴬	{𦿐字底}
󱴭	{𦿨字底}
󱴮	{𦿫字底字边}
󱴯	{𦿫字底}
󱴰	{𦿯字底}
󱴱	{𦿱字底}
󱴲	{𦿴字腰}
󱴳	{𦿷字底}
󱴴	{𦿼字底}
󱴵	{𧀂字底}
󱴶	{𧀅字底}
󱴸	{𧀇字底}
󱴹	{𧀈字腰}
󱴺	{𧀉字底}
󱴽	{𧀕字底字边}
󱴾	{𧀕字底}
󱴿	{𧀚字底}
󱵀	{𧀲字底}
󱵁	{𧀲字底之一}
󱵂	{𧀳字底字边}
󱵃	{𧀳字底}
󱵄	{𧀶字底字底}
󱵅	{𧀶字底}
󱵆	{𧀼字底字旁}
󱵇	{𧀼字底}
󱵈	{𧀾字底}
󱵉	{𧁀字底字边}
󱵊	{𧁀字底}
󱵋	{𧁄字底}
󱵌	{𧁅字腰}
󱵍	{𧁅字腰字边}
󱵎	{𧁅字腰之一}
󱵏	{𧁅字腰之二}
󱵐	{𧁆字底}
󱵑	{𧁇字头字底}
󱵒	{𧁇字头}
󱵓	{𧁇字底}
󱵔	{𧁇字头字底之一}
󱵕	{𧁇字头之一}
󱵗	{𧁉字底}
󱵘	{𧁠字底字中}
󱵙	{𧁠字底}
󱵚	{𧁡字旁字底}
󱵛	{𧁡字旁}
󱵝	{𧁥字底}
󱵞	{𧁥字底之一}
󱵠	{𧁥字底之二}
󱵡	{𧁧字底}
󱵣	{𧁨字底}
󱵤	{𧁶字底字心}
󱵥	{𧁶字底}
󱵦	{𧁸字腰}
󱵧	{𧂇字底}
󱵨	{𧂓字旁字腰}
󱵩	{𧂓字旁}
󱵪	{𧂗字底}
󱵫	{𧂝字底}
󱵭	{𧂣字底字旁}
󱵮	{𧂣字底}
󱵯	{𧂤字底}
󱵰	{𧂤字底之一}
󱵱	{𧂪字底字心}
󱵲	{𧂪字底}
󱵳	{𧂲字底}
󱵴	{𧂶字底}
󱵵	{𧂷字底}
󱵶	{𧂺字底字边}
󱵷	{𧂺字底}
󱵸	{𧂻字底字边}
󱵹	{𧂻字底}
󱵺	{𧂾字底字心}
󱵻	{𧂾字底}
󱵼	{𧂾字底字心之一}
󱵽	{𧂾字底之一}
󱵾	{𧃀字底}
󱶀	{𧃁字底}
󱶁	{𧃂字底}
󱶂	{𧃄字底字边}
󱶃	{𧃄字底}
󱶄	{𧃅字腰}
󱶅	{𧃈字底}
󱶆	{𧃍字底字头}
󱶇	{𧃍字底}
󱶈	{𧃍字底之一}
󱶉	{𧃒字底}
󱶊	{𧃒字底之一}
󱶋	{𧃘字底}
󱶌	{𧃜字腰}
󱶍	{𧃠字底}
󱶎	{𧃠字底之一}
󱶐	{𧃡字底字边}
󱶑	{𧃡字底}
󱶒	{𧃡字底字边之一}
󱶓	{𧃡字底之一}
󱶔	{𧃤字腰}
󱶕	{𧃩字底}
󱶖	{𧃫字底}
󱶗	{𧃬字底}
󱶘	{𧃭字旁字底}
󱶙	{𧃭字旁}
󱶚	{𧃭字边}
󱶛	{𧃰字底}
󱶝	{𧃱字底字旁}
󱶞	{𧃱字底}
󱶟	{𧃾字腰}
󱶠	{𧄂字底字边}
󱶡	{𧄂字底}
󱶢	{𧄃字底}
󱶣	{𧄆字底}
󱶤	{𧄋字旁}
󱶥	{𧄗字底}
󱶦	{𧄠字底}
󱶧	{𧄢字底字边}
󱶨	{𧄢字底}
󱶩	{𧄥字底}
󱶪	{𧄪字旁}
󱶫	{𧄪字边}
󱶬	{𧄭字底字边}
󱶭	{𧄭字底}
󱶮	{𧄸字腰字心}
󱶯	{𧄸字腰}
󱶰	{𧅇字底}
󱶱	{𧅇字底字心}
󱶲	{𧅇字底之一}
󱶳	{𧅊字框}
󱶴	{𧅋字底}
󱶵	{𧅋字底之一}
󱶶	{𧅋字底之二}
󱶷	{𧅋字底之三}
󱶸	{𧅒字腰}
󱶹	{𧅟字旁}
󱶺	{𧅠字底}
󱶻	{𧅡字底}
󱶼	{𧅨字底}
󱶽	{𧅨字底之一}
󱶿	{𧅱字底字底}
󱷀	{𧅱字底}
󱷁	{𧅱字底字底字框}
󱷂	{𧅱字底字底之一}
󱷃	{𧅱字底之一}
󱷄	{𧅶字底字心字心}
󱷅	{𧅶字底字心}
󱷆	{𧅶字底}
󱷈	{𧅶字底字心之一}
󱷉	{𧅶字底之一}
󱷊	{𧅷字底}
󱷋	{𧅹字底字边}
󱷌	{𧅹字底}
󱷍	{𧅽字腰}
󱷎	{𧅿字底字旁}
󱷏	{𧅿字底}
󱷐	{𧆃字底}
󱷑	{𧆃字底之一}
󱷒	{𧆃字底之二}
󱷓	{𧆆字底}
󱷔	{𧆉字头}
󱷕	{𧆍字底}
󱷖	{𧆍字底之一}
󱷗	{𧆍字底之二}
󱷘	{𧆒字底}
󱷙	{𧆔字头字头}
󱷚	{𧆔字头}
󱷛	{𧆕字底字心}
󱷜	{𧆕字底}
󱷝	{𧆗字腰}
󱷟	{𧆘字底字心}
󱷠	{𧆘字底}
󱷡	{𧆙字底字边}
󱷢	{𧆙字底}
󱷣	{𧆧字心}
󱷤	{𧆧字心之一}
󱷧	{𧇂字旁}
󱷨	{𧇂字旁之一}
󱷩	{𧇏字心}
󱷪	{𧇏字心之一}
󱷫	{𧇗字心}
󱷭	{𧇳字旁}
󱷯	{𧈀字心}
󱷲	{𧈌字头}
󱷳	{𧈎字边}
󱷴	{𧈐字旁}
󱷵	{𧈐字旁之一}
󱷶	{𧈒字边}
󱷷	{𧈓字旁}
󱷸	{𧈘字心字头}
󱷹	{𧈘字心}
󱷺	{𧉲字边}
󱷻	{𧊢字头}
󱷼	{𧊢字头之一}
󱷽	{𧊨字边}
󱷾	{𧊪字头}
󱷿	{𧊫字边}
󱸀	{𧊼字边}
󱸁	{𧋗字头}
󱸂	{𧋚字边}
󱸃	{𧋧字边}
󱸄	{𧋮字边}
󱸅	{𧋮字边之一}
󱸆	{𧋳字头}
󱸇	{𧌕字边}
󱸈	{𧌟字头}
󱸉	{𧌢字边}
󱸋	{𧌤字边}
󱸌	{𧌧字边}
󱸍	{𧌵字中}
󱸎	{𧌺字边}
󱸏	{𧍂字边}
󱸐	{𧍐字边}
󱸒	{𧍽字心字头}
󱸓	{𧍽字心}
󱸕	{𧎍字边}
󱸖	{𧎔字边}
󱸗	{𧎶字心}
󱸘	{𧏁字框字心字框}
󱸙	{𧏁字框字心}
󱸚	{𧏁字框}
󱸛	{𧏁字心}
󱸜	{𧏂字边字头}
󱸝	{𧏂字边}
󱸞	{𧏃字边字头}
󱸟	{𧏃字边}
󱸠	{𧏆字头}
󱸡	{𧏉字边}
󱸢	{𧏉字边之一}
󱸣	{𧏌字头}
󱸤	{𧏓字边}
󱸥	{𧏓字边字头}
󱸦	{𧏓字边之一}
󱸧	{𧏔字旁}
󱸨	{𧏚字旁}
󱸩	{𧏜字边}
󱸪	{𧏝字底字心}
󱸫	{𧏝字底}
󱸬	{𧏩字边}
󱸭	{𧏬字边}
󱸮	{𧏭字边}
󱸱	{𧐃字边}
󱸲	{𧐘字底}
󱸳	{𧐬字边字底}
󱸴	{𧐬字边}
󱸶	{𧐬字边之一}
󱸷	{𧐲字边}
󱸸	{𧑛字边}
󱸹	{𧑠字边}
󱸺	{𧑢字心}
󱸻	{𧑦字边}
󱸼	{𧑧字头}
󱸽	{𧑩字边}
󱸾	{𧑰字边字心}
󱸿	{𧑰字边}
󱹀	{𧑳字边}
󱹁	{𧑴字底}
󱹂	{𧑵字边}
󱹃	{𧑺字边}
󱹄	{𧒋字边}
󱹅	{𧒝字心}
󱹆	{𧒞字边}
󱹇	{𧒞字边之一}
󱹈	{𧒟字头}
󱹉	{𧒠字边}
󱹊	{𧒤字头}
󱹋	{𧒤字腰}
󱹌	{𧒥字边}
󱹍	{𧒦字边}
󱹎	{𧒦字旁}
󱹐	{𧒫字边字腰}
󱹑	{𧒫字边}
󱹒	{𧒫字边之一}
󱹓	{𧒫字边字腰之一}
󱹔	{𧒫字边之二}
󱹕	{𧒫字边之三}
󱹖	{𧒳字边}
󱹗	{𧒶字边字心}
󱹘	{𧒶字边}
󱹙	{𧓉字底字心}
󱹚	{𧓉字底}
󱹛	{𧓉字底之一}
󱹜	{𧓛字边}
󱹝	{𧓛字边之一}
󱹞	{𧓟字头字框}
󱹟	{𧓟字头}
󱹠	{𧓟字头之一}
󱹡	{𧓠字边}
󱹢	{𧓡字边}
󱹣	{𧓣字旁}
󱹥	{𧓤字头}
󱹦	{𧓥字边}
󱹧	{𧓾字边}
󱹪	{𧔁字头}
󱹫	{𧔇字边}
󱹬	{𧔈字边}
󱹭	{𧔓字边字头}
󱹮	{𧔓字边}
󱹯	{𧔕字边}
󱹰	{𧔠字边字底}
󱹱	{𧔠字边}
󱹲	{𧔭字腰}
󱹳	{𧔯字底}
󱹴	{𧔰字底}
󱹵	{𧔶字边}
󱹶	{𧔶字边之一}
󱹷	{𧔸字边}
󱹸	{𧔹字边}
󱹹	{𧔽字边}
󱹺	{𧔽字边之一}
󱹻	{𧕁字边字头}
󱹼	{𧕁字边}
󱹽	{𧕂字边}
󱹾	{𧕓字边}
󱹿	{𧕜字头}
󱺀	{𧕣字底}
󱺁	{𧕺字边}
󱺂	{𧖉字心}
󱺃	{𧖏字心}
󱺄	{𧖝字头}
󱺅	{𧗃字头}
󱺆	{𧗇字心}
󱺇	{𧗒字心字心}
󱺈	{𧗒字心}
󱺉	{𧗙字头}
󱺊	{𧗡字心}
󱺌	{𧗭字心}
󱺍	{𧗻字心}
󱺎	{𧗾字心}
󱺏	{𧘁字心}
󱺐	{𧘄字心}
󱺑	{𧘆字心}
󱺒	{𧘆字心之一}
󱺔	{𧘧字边字底}
󱺕	{𧘧字边}
󱺖	{𧘵字边}
󱺗	{𧘵字边之一}
󱺘	{𧘷字边}
󱺙	{𧘾字边}
󱺚	{𧙒字边}
󱺛	{𧙦字腰}
󱺜	{𧙮字中}
󱺝	{𧙵字腰}
󱺞	{𧙾字边}
󱺟	{𧚕字边}
󱺠	{𧚡字头}
󱺡	{𧚱字腰}
󱺢	{𧚶字边}
󱺣	{𧛅字边}
󱺤	{𧛌字底}
󱺥	{𧛍字边}
󱺦	{𧛦字心}
󱺨	{𧛲字头}
󱺩	{𧛳字边字底}
󱺪	{𧛳字边}
󱺫	{𧜊字头}
󱺬	{𧜋字边}
󱺭	{𧜍字腰}
󱺮	{𧜐字边}
󱺯	{𧜑字边字心}
󱺰	{𧜑字边}
󱺱	{𧜑字边字心之一}
󱺲	{𧜑字边之一}
󱺴	{𧜩字边}
󱺵	{𧜪字腰}
󱺶	{𧜪字腰之一}
󱺷	{𧜬字边}
󱺸	{𧜲字边}
󱺹	{𧜲字边之一}
󱺺	{𧜸字腰字底字旁}
󱺻	{𧜸字腰字底}
󱺼	{𧜸字腰}
󱺽	{𧝒字边字头}
󱺾	{𧝒字边}
󱺿	{𧝚字头}
󱻀	{𧝢字腰}
󱻁	{𧝢字腰之一}
󱻂	{𧝮字边}
󱻄	{𧝹字底}
󱻅	{𧝹字底之一}
󱻆	{𧝹字底之二}
󱻇	{𧝾字腰}
󱻈	{𧝾字腰之一}
󱻉	{𧞂字腰}
󱻊	{𧞌字边}
󱻋	{𧞘字边字框字心}
󱻌	{𧞘字边字框}
󱻍	{𧞘字边}
󱻎	{𧞜字头}
󱻏	{𧞝字边}
󱻑	{𧞟字边字底}
󱻒	{𧞟字边}
󱻓	{𧞠字边}
󱻔	{𧞦字边}
󱻕	{𧞳字边字头}
󱻗	{𧞳字边}
󱻘	{𧞳字边字头之一}
󱻚	{𧞳字边之一}
󱻛	{𧞹字头字旁}
󱻜	{𧞹字头}
󱻝	{𧟎字边字头}
󱻞	{𧟎字边}
󱻠	{𧟕字边}
󱻡	{𧟕字边之一}
󱻢	{𧟚字边}
󱻣	{𧟚字边之一}
󱻥	{𧟛字头字旁}
󱻦	{𧟛字头}
󱻧	{𧟛字头之一}
󱻨	{𧟜字边}
󱻪	{𧟲字底}
󱻫	{𧟳字底}
󱻬	{𧟺字头字底}
󱻭	{𧟺字头}
󱻮	{𧟿字腰}
󱻯	{𧟿字腰之一}
󱻰	{𧠀字框}
󱻱	{𧠂字底}
󱻳	{𧠃字底}
󱻴	{𧠅字旁}
󱻶	{𧠱字旁}
󱻷	{𧡅字旁}
󱻸	{𧡉字心}
󱻹	{𧡔字旁}
󱻺	{𧡗字旁}
󱻻	{𧡠字旁}
󱻼	{𧡠字旁之一}
󱻽	{𧡧字底}
󱻾	{𧡧字底之一}
󱻿	{𧡳字旁}
󱼀	{𧡼字头}
󱼁	{𧡽字边}
󱼂	{𧡽字边之一}
󱼃	{𧢉字旁}
󱼄	{𧢉字旁之一}
󱼅	{𧢏字旁}
󱼆	{𧢖字旁}
󱼇	{𧢛字头}
󱼈	{𧢛字底}
󱼉	{𧢠字心}
󱼊	{𧢣字旁字底}
󱼋	{𧢣字旁}
󱼌	{𧢪字旁}
󱼍	{𧢯字旁字底}
󱼎	{𧢯字旁}
󱼏	{𧢰字旁字底}
󱼐	{𧢰字旁}
󱼑	{𧢲字底}
󱼔	{𧤢字头}
󱼕	{𧤧字边}
󱼗	{𧤬字边}
󱼙	{𧤶字边}
󱼚	{𧥀字头字心}
󱼛	{𧥀字头}
󱼝	{𧥒字边}
󱼟	{𧥚字旁}
󱼠	{𧥚字边}
󱼢	{𧥻字心}
󱼣	{𧦆字边}
󱼤	{𧦏字边}
󱼥	{𧦖字边}
󱼧	{𧦣字边}
󱼨	{𧦮字边}
󱼩	{𧦶字边}
󱼪	{𧧊字边}
󱼬	{𧧚字边}
󱼭	{𧧞字旁}
󱼮	{𧧡字边}
󱼯	{𧧡字边之一}
󱼰	{𧧱字边}
󱼲	{𧧴字边}
󱼳	{𧧹字边}
󱼵	{𧧼字边之一}
󱼶	{𧨄字边}
󱼷	{𧨄字边之一}
󱼸	{𧨉字边}
󱼹	{𧨋字边}
󱼺	{𧨐字边}
󱼻	{𧨥字边}
󱼼	{𧨦字边}
󱼽	{𧨧字边}
󱼾	{𧨺字心}
󱼿	{𧨿字边}
󱽀	{𧩄字边}
󱽁	{𧩅字边字心}
󱽂	{𧩅字边}
󱽃	{𧩆字边}
󱽄	{𧩍字边}
󱽅	{𧩏字底字框}
󱽆	{𧩏字底}
󱽇	{𧩏字底之一}
󱽈	{𧩒字边}
󱽉	{𧩗字边字底}
󱽊	{𧩗字边}
󱽋	{𧩙字边}
󱽌	{𧩚字边}
󱽍	{𧩰字边}
󱽎	{𧪃字边}
󱽏	{𧪥字边}
󱽐	{𧪷字旁}
󱽑	{𧪸字边}
󱽓	{𧪺字边}
󱽕	{𧪺字边之一}
󱽗	{𧪺字边之二}
󱽘	{𧫀字边}
󱽙	{𧫌字边}
󱽚	{𧫐字边}
󱽛	{𧫐字边之一}
󱽜	{𧫘字旁}
󱽝	{𧫨字边字心}
󱽞	{𧫨字边}
󱽟	{𧫨字边字心之一}
󱽠	{𧫨字边之一}
󱽡	{𧫬字头}
󱽢	{𧫭字边}
󱽣	{𧫯字底字心}
󱽤	{𧫯字底}
󱽦	{𧫲字边}
󱽨	{𧫲字边之一}
󱽪	{𧫲字边之二}
󱽬	{𧫲字边之三}
󱽭	{𧫵字边}
󱽮	{𧫵字边之一}
󱽯	{𧬔字边}
󱽰	{𧬖字边}
󱽱	{𧬚字中}
󱽲	{𧬟字边}
󱽴	{𧬟字边之一}
󱽶	{𧬟字边之二}
󱽷	{𧬣字心}
󱽸	{𧬶字边}
󱽹	{𧬸字边}
󱽺	{𧬿字边字头}
󱽻	{𧬿字边}
󱽼	{𧭁字头字旁}
󱽽	{𧭁字头}
󱽾	{𧭅字边字头}
󱽿	{𧭅字边}
󱾀	{𧭇字边}
󱾁	{𧭑字边}
󱾂	{𧭔字边}
󱾃	{𧭕字边}
󱾅	{𧭨字底}
󱾇	{𧭨字底之一}
󱾈	{𧭩字边字腰}
󱾉	{𧭩字边}
󱾋	{𧭪字边字底}
󱾌	{𧭪字边}
󱾍	{𧭯字边}
󱾎	{𧭲字边}
󱾏	{𧭶字边字心}
󱾐	{𧭶字边}
󱾑	{𧭽字边}
󱾒	{𧮁字边字腰}
󱾔	{𧮁字边}
󱾕	{𧮋字边}
󱾖	{𧮋字边之一}
󱾗	{𧮏字边}
󱾘	{𧮖字边}
󱾙	{𧮘字边}
󱾚	{𧮜字边}
󱾛	{𧮥字腰}
󱾞	{𧮸字旁字心}
󱾟	{𧮸字旁}
󱾠	{𧮾字旁}
󱾡	{𧯗字边}
󱾢	{𧯧字头}
󱾣	{𧯭字头}
󱾥	{𧯽字头}
󱾦	{𧰀字边}
󱾧	{𧰌字底}
󱾨	{𧰌字底之一}
󱾩	{𧰍字头}
󱾪	{𧰍字底}
󱾫	{𧰏字边}
󱾬	{𧰏字边之一}
󱾭	{𧰏字边之二}
󱾮	{𧰕字边}
󱾯	{𧰛字头字旁}
󱾰	{𧰛字头}
󱾱	{𧰞字边}
󱾲	{𧰬字底}
󱾳	{𧰳字底字框}
󱾴	{𧰳字底}
󱾸	{𧱊字边}
󱾹	{𧱔字边}
󱾻	{𧱞字边}
󱾼	{𧱢字边}
󱾽	{𧱮字底}
󱾾	{𧱮字底之一}
󱾿	{𧱯字底}
󱿀	{𧱯字底之一}
󱿁	{𧱸字边字框}
󱿂	{𧱸字边}
󱿃	{𧲁字旁}
󱿄	{𧲓字边}
󱿅	{𧲗字边}
󱿆	{𧲗字边之一}
󱿈	{𧳱字边字头}
󱿉	{𧳱字边}
󱿊	{𧳻字边}
󱿋	{𧳻字边之一}
󱿌	{𧳼字边}
󱿍	{𧳾字边}
󱿏	{𧴇字边}
󱿐	{𧴞字边}
󱿑	{𧴢字边}
󱿒	{𧴶字边}
󱿓	{𧴷字边}
󱿔	{𧴺字头}
󱿕	{𧵐字边}
󱿗	{𧵪字边}
󱿘	{𧵯字头}
󱿙	{𧵶字边}
󱿛	{𧶌字头}
󱿜	{𧶥字边}
󱿝	{𧶦字头字框}
󱿞	{𧶦字头}
󱿟	{𧶩字边}
󱿠	{𧶻字头字旁}
󱿡	{𧶻字头字边}
󱿢	{𧶻字头}
󱿣	{𧷄字头}
󱿥	{𧷙字头}
󱿦	{𧷧字头字旁字底}
󱿧	{𧷧字头字旁}
󱿨	{𧷧字头}
󱿩	{𧷧字头字旁之一}
󱿪	{𧷧字头之一}
󱿫	{𧷨字头}
󱿭	{𧷨字头之一}
󱿯	{𧷨字头之二}
󱿰	{𧷩字框}
󱿱	{𧷫字心}
󱿲	{𧷫字心之一}
󱿳	{𧷭字旁}
󱿵	{𧷲字边}
󱿶	{𧷵字腰}
󱿷	{𧷽字边}
󱿸	{𧷽字边之一}
󱿹	{𧸇字头}
󱿺	{𧸎字边}
󱿻	{𧸕字边字底}
󱿼	{𧸕字边}
󱿽	{𧸞字边}
󱿾	{𧸠字头字边}
󱿿	{𧸠字头}
󲀀	{𧸣字边}
󲀁	{𧸣字边之一}
󲀂	{𧸥字边}
󲀃	{𧸨字边}
󲀅	{𧸸字边字底字心}
󲀆	{𧸸字边字底}
󲀇	{𧸸字边}
󲀈	{𧸻字边}
󲀉	{𧹂字头}
󲀊	{𧹄字边}
󲀋	{𧹆字头}
󲀌	{𧹉字边}
󲀍	{𧹎字边}
󲀎	{𧹠字边}
󲀏	{𧹲字旁}
󲀐	{𧹳字边}
󲀑	{𧺄字旁}
󲀒	{𧺅字边}
󲀔	{𧻝字心}
󲀕	{𧻡字心}
󲀖	{𧻦字心}
󲀗	{𧼜字心字心}
󲀘	{𧼜字心}
󲀙	{𧼢字心}
󲀚	{𧼧字框}
󲀛	{𧼧字框之一}
󲀜	{𧽔字心}
󲀝	{𧽫字心}
󲀞	{𧽭字心}
󲀟	{𧽰字心}
󲀠	{𧽴字心}
󲀡	{𧾁字心}
󲀢	{𧾅字心}
󲀣	{𧾉字心}
󲀤	{𧾠字心}
󲀥	{𧾠字心之一}
󲀦	{𧾫字心字底}
󲀧	{𧾫字心}
󲀨	{𧾫字心之一}
󲀩	{𧾬字心}
󲀪	{𧾶字心字底}
󲀫	{𧾶字心}
󲀬	{𧿋字边}
󲀭	{𧿎字边}
󲀮	{𨀇字边}
󲀯	{𨀔字边}
󲀰	{𨀫字边}
󲀱	{𨀭字边}
󲀲	{𨁀字边}
󲀳	{𨁀字边之一}
󲀴	{𨁓字边}
󲀶	{𨁕字边}
󲀹	{𨁳字边}
󲀺	{𨂇字边}
󲀻	{𨂇字边之一}
󲀽	{𨂟字边}
󲀾	{𨂟字边字底之一}
󲀿	{𨂟字边之一}
󲁀	{𨂹字边}
󲁁	{𨃒字边}
󲁂	{𨃗字边}
󲁃	{𨃗字边之一}
󲁄	{𨄀字边}
󲁅	{𨄔字边}
󲁆	{𨄘字边}
